Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Wheat flour,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Whole wheat flour,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Bread flour,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Cake flour,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Semolina,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Durum semolina,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Couscous,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Bulgur,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Pasta,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Macaroni,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Spaghetti,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Noodles,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Rice noodles,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Rice flakes,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Poha,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Puffed rice,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Corn flakes,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Oat flakes,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Granola,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Muesli,Grain & pulse products,5.0–7.0,5–14%,10–25°C,N/A after processing,Medium–High,High,Medium,3–18 months,Moisture/oxygen-barrier food-grade pouch,"Prevents moisture uptake, oxidation, insects and loss of texture/aroma.","Cool product before sealing, keep dry and use clean, sealed packaging.",
Bread,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Whole wheat bread,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Multigrain bread,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Flatbread,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Naan,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Roti,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Tortilla,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Pita bread,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Croissant,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Danish pastry,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Bagel,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Bun,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
Burger bun,Bakery & confectionery,4.0–7.0,2–40%,15–25°C*,N/A after processing,Medium–High,Medium–High,Medium,days–12 months*,Sealed food-grade pouch/carton with moisture or oxygen barrier as needed,"Controls moisture migration, oxidation, contamination and mechanical damage.",Cool baked products before packing; match the barrier to the product's moisture and fat content.,
